year,longitude,latitude,fish_type
2012.0,-61.7905000000,48.3657500000,capelin
2012.0,-62.2685000000,48.3978333300,capelin
2012.0,-62.4501666700,48.5015000000,capelin
2012.0,-62.6696666700,48.6310833300,capelin
2012.0,-62.7690000000,48.4250000000,capelin
2012.0,-62.9392500000,48.4716666700,capelin
2012.0,-62.8626666700,48.5371666700,capelin
2012.0,-62.9910000000,48.6229166700,capelin
2012.0,-63.2937500000,48.7260833300,capelin
2012.0,-63.4935000000,49.2353333300,capelin
2012.0,-63.9401666700,49.3056666700,capelin
2012.0,-64.1439166700,49.3333333300,capelin
2012.0,-63.8375833300,49.4610833300,capelin
2012.0,-64.0558333300,49.5967500000,capelin
2012.0,-64.5350000000,49.5565833300,capelin
2012.0,-64.7275833300,49.9187500000,capelin
2012.0,-65.0360833300,49.9183333300,capelin
2012.0,-65.3486666700,50.0749166700,capelin
2012.0,-65.6277500000,50.0823333300,capelin
2012.0,-66.0860833300,49.8907500000,capelin
2012.0,-66.6237500000,49.8495000000,capelin
2012.0,-66.9392500000,49.6507500000,capelin
2012.0,-66.5260000000,49.5498333300,capelin
2012.0,-66.3107500000,49.4737500000,capelin
2012.0,-66.2565833300,49.6309166700,capelin
2012.0,-65.7445833300,49.7640000000,capelin
2012.0,-65.5832500000,49.6197500000,capelin
2012.0,-65.7376666700,49.4831666700,capelin
2012.0,-65.0034166700,49.3651666700,capelin
2012.0,-64.8145833300,49.2549166700,capelin
2012.0,-64.5427500000,49.2444166700,capelin
2012.0,-62.7484166700,49.0316666700,capelin
2012.0,-62.4510833300,48.9045000000,capelin
2012.0,-60.5035000000,49.3646666700,capelin
2012.0,-60.5873333300,49.4758333300,capelin
2012.0,-60.7665000000,49.5579166700,capelin
2012.0,-60.7575833300,49.5957500000,capelin
2012.0,-60.9648333300,49.5556666700,capelin
2012.0,-61.0485000000,49.6053333300,capelin
2012.0,-61.4635833300,49.7355000000,capelin
2012.0,-62.9705833300,50.1628333300,capelin
2012.0,-62.8802500000,50.2125000000,capelin
2012.0,-62.7117500000,50.0280000000,capelin
2012.0,-62.8119166700,49.7335000000,capelin
2012.0,-63.1255833300,49.8565833300,capelin
2012.0,-63.3220000000,49.8638333300,capelin
2012.0,-63.4695000000,49.9658333300,capelin
2012.0,-63.7417500000,49.9473333300,capelin
2012.0,-64.5265000000,50.0721666700,capelin
2012.0,-64.6151666700,49.9646666700,capelin
2012.0,-65.5070833300,50.1815833300,capelin
2012.0,-65.6331666700,50.2019166700,capelin
2012.0,-66.6345833300,49.9704166700,capelin
2012.0,-67.0875000000,49.5535833300,capelin
2012.0,-66.9649166700,49.3415000000,capelin
2012.0,-67.0174166700,49.2755000000,capelin
2012.0,-67.1912500000,49.2914166700,capelin
2012.0,-67.4161666700,49.1713333300,capelin
2012.0,-67.6494166700,49.1979166700,capelin
2012.0,-67.7225000000,49.2845000000,capelin
2012.0,-67.6927500000,49.1781666700,capelin
2012.0,-67.9794166700,49.2620833300,capelin
2012.0,-68.3111666700,48.9830000000,capelin
2012.0,-68.3222500000,48.7668333300,capelin
2012.0,-68.4868333300,48.7281666700,capelin
2012.0,-68.5065000000,48.8100833300,capelin
2012.0,-68.5781666700,48.8839166700,capelin
2012.0,-68.8916666700,48.6430833300,capelin
2012.0,-68.9008333300,48.6106666700,capelin
2012.0,-69.0482500000,48.5678333300,capelin
2012.0,-69.1005000000,48.3125833300,capelin
2012.0,-68.6856666700,48.5464166700,capelin
2012.0,-68.7135833300,48.5865000000,capelin
2012.0,-68.6965833300,48.6589166700,capelin
2012.0,-68.3966666700,48.6525833300,capelin
2012.0,-68.2935000000,48.6565833300,capelin
2012.0,-67.9435000000,48.8320833300,capelin
2012.0,-67.2221666700,48.9955000000,capelin
