data_date,latitude,longitude,depth,temperature,salinity
6/8/2009,51.58,-56.62,100,-0.289000005,32.00500107
4/18/2009,48.77,-68.27,100,-0.59799999,31.74099922
7/30/2009,47.74,-60.06,100,0.50999999,32.49000168
7/6/2009,48.7,-68.53,300,5.012000084,34.45399857
6/20/2009,49.72,-66.25,200,4.828999996,34.3390007
9/7/2009,48.7,-68.6,100,0.745999992,32.85499954
7/30/2009,47.43,-59.57,200,4.271999836,33.88999939
6/5/2009,49.24,-66.19,0,4.798999786,30.88299942
8/21/2009,49.83,-61.36,100,1.17900002,33.14500046
6/30/2009,48.64,-68.64,100,1.777999997,33.28099823
6/23/2009,49.62,-66.71,100,3.746000051,33.93099976
6/15/2009,48.2,-69.44,0,1.034999967,32.42900085
8/11/2009,48.29,-62.48,0,1.246999979,31.63199997
6/4/2009,48.67,-68.57,300,4.592000008,34.25400162
7/11/2009,49.24,-66.18,100,0.093000002,32.67699814
6/21/2009,48.7,-68.6,200,3.697999954,33.95299911
8/16/2009,49.16,-64.04,0,16.57299995,29.59600067
8/9/2009,49.25,-66.17,200,3.404999971,33.79499817
4/18/2009,48.77,-68.27,300,5.18200016,34.52600098
8/9/2009,48.68,-68.59,100,2.660000086,33.55899811
8/7/2009,50.52,-57.52,100,-0.108999997,32.2879982
6/12/2009,47.74,-64,100,0.064000003,32.29299927
8/5/2009,49.25,-59.46,100,1.088000059,33.09400177
7/14/2009,48.68,-68.58,100,2.786999941,33.59500122
9/19/2009,45.9,-62.04,0,16.41600037,28.65299988
8/1/2009,48.08,-60.7,200,5.114999771,34.4090004
6/12/2009,47.66,-63.75,0,10.22900009,28.17499924
6/5/2009,49.72,-66.25,200,4.214000225,34.10200119
8/9/2009,50.11,-60.03,0,3.868000031,31.38100052
5/27/2009,47.32,-55.55,0,1.330000043,32.15999985
8/29/2009,49.18,-66.67,0,5.443999767,31.0170002
9/1/2009,46.67,-56.72,0,10.89999962,32.02000046
8/11/2009,48.24,-62.72,100,0.182999998,32.06800079
8/13/2009,48.88,-62.54,200,2.197000027,33.41199875
4/25/2009,48.65,-68.56,300,4.751999855,34.33300018
7/16/2009,48.19,-61.62,0,15.97999954,29.05400085
6/5/2009,49.22,-64.79,0,5.145999908,29.14599991
6/19/2009,48.5,-63.75,0,6.147999763,30.43700027
8/22/2009,49.13,-62.9,0,2.46600008,31.75600052
8/22/2009,48.87,-61.56,100,1.957999945,33.35400009
7/29/2009,47.1,-59.99,300,5.333000183,34.61100006
8/25/2009,49.19,-67.5,300,5.208000183,34.57699966
6/11/2009,47.1,-59.99,200,4.934000015,34.3730011
8/29/2009,49.24,-66.2,100,-0.025,32.48099899
6/18/2009,47.83,-62.75,0,3.381999969,30.43300056
6/17/2009,47.5,-61.24,0,5.540999889,31.01600075
6/17/2009,47.5,-60.75,0,4.198999882,31.60300064
7/26/2009,49.24,-66.19,0,13.04300022,29.56900024
6/30/2009,48.64,-68.64,300,4.618999958,34.29299927
6/9/2009,48.65,-61.13,300,5.399000168,34.625
8/6/2009,50.19,-58.26,100,1.225000024,33.05599976
8/6/2009,49.66,-58.56,100,-0.079000004,32.22999954
8/7/2009,51.12,-58.07,100,-1.434000015,32.63100052
6/15/2009,47,-59.75,100,1.233999968,33.07600021
8/20/2009,49.96,-63.9,0,3.325000048,31.74099922
6/5/2009,49.22,-64.79,0,1.434999943,31.57600021
7/30/2009,47.27,-59.78,0,17.0739994,29.7159996
9/2/2009,47.63,-63.29,0,4.313000202,30.88199997
8/10/2009,48.27,-62.13,0,10.42199993,30.18300056
8/11/2009,48.38,-62.57,200,3.40199995,33.77700043
8/10/2009,48.15,-62.15,100,-0.01,32.25
6/14/2009,47.17,-62.75,0,-0.035999998,31.75099945
8/5/2009,49.25,-59.46,200,3.39199996,33.77000046
8/8/2009,50.33,-58.65,0,7.431000233,31.43400002
8/1/2009,48.08,-60.7,300,5.296000004,34.74200058
8/8/2009,50.33,-58.65,0,10.04699993,31.15800095
7/30/2009,47.74,-60.06,400,5.054999828,34.83499908
8/7/2009,50.82,-58.58,100,-0.870000005,32.6969986
8/13/2009,48.72,-62.39,200,4.47300005,34.13100052
6/15/2009,48.2,-69.44,100,0.876999974,32.84400177
6/9/2009,51.17,-57.87,100,-0.064999998,32.08399963
7/11/2009,49.7,-66.26,0,-0.470999986,32.47600174
8/8/2009,50.33,-58.65,0,15.36499977,30.37899971
7/30/2009,47.72,-59.65,400,5.06400013,34.83000183
6/19/2009,48.5,-63.75,0,5.362999916,30.93400002
9/14/2009,48.67,-68.58,0,5.763999939,28.17399979
4/25/2009,48.79,-68.25,100,-0.822000027,31.96899986
8/4/2009,48.67,-68.56,0,13.12100029,24.51499939
6/4/2009,48.67,-68.57,200,3.221999884,32.70399857
8/16/2009,48.13,-69.7,100,3.914000034,29.35099983
8/4/2009,48.67,-68.56,300,5.000999928,34.44300079
8/7/2009,50.38,-58,200,3.546000004,33.8219986
8/11/2009,48.49,-62.76,200,3.352999926,33.79000092
8/9/2009,49.69,-60.11,0,0.521000028,31.97400093
5/17/2009,49.7,-66.26,0,-0.649999976,32.41999817
6/5/2009,49.72,-66.25,200,4.975999832,34.42200089
8/10/2009,48.27,-62.13,0,17.9829998,28.77400017
8/25/2009,49.37,-66.96,100,1.748999953,33.26800156
6/21/2009,49.12,-67.91,100,2.444000006,33.5019989
6/6/2009,49.83,-62.95,0,1.220999956,31.8939991
9/3/2009,47.29,-64.23,0,6.681000233,30.34799957
8/14/2009,48.42,-62.77,200,3.769999981,33.89400101
8/9/2009,48.68,-68.59,200,5.010000229,34.45000076
9/14/2009,48.67,-68.58,100,2.160000086,33.38000107
8/10/2009,48.27,-62.13,0,18.08200073,28.74900055
8/1/2009,48.39,-60.6,200,4.22300005,34.03900146
9/23/2009,47.06,-60.7,0,11.28499985,30.38500023
8/8/2009,50.33,-58.65,0,6.34499979,31.52199936
8/24/2009,48.62,-68.91,300,5.013000011,34.44900131
9/23/2009,47.31,-61.09,0,9.494000435,30.94199944
6/17/2009,48.17,-61.25,100,2.776000023,33.58000183
7/28/2009,47,-63.72,0,2.493999958,30.41399956
8/17/2009,49.75,-65.06,200,4.199999809,34.09700012
8/1/2009,48.15,-60.08,0,10.3380003,31.10300064
8/26/2009,48.23,-64.43,0,5.084000111,30.38999939
8/1/2009,48.39,-60.6,200,4.703999996,34.21500015
8/13/2009,48.41,-63.46,100,1.383000016,33.13199997
8/31/2009,47.74,-64.07,0,13.90100002,28.10499954
8/12/2009,48.53,-63.12,100,3.648999929,33.87400055
8/9/2009,49.71,-66.26,100,3.062999964,33.6780014
8/10/2009,48.94,-60,200,4.853000164,34.25699997
8/13/2009,48.88,-62.54,200,2.382999897,33.47299957
8/24/2009,48.62,-68.91,300,4.991000175,34.44100189
6/5/2009,49.72,-66.25,200,5.109000206,34.48400116
6/21/2009,48.7,-68.6,300,4.78000021,34.3769989
6/18/2009,48.57,-62.76,300,5.352000237,34.73400116
9/18/2009,46.2,-61.72,100,2.351999998,30.68300056
8/2/2009,48.45,-59.56,0,3.671000004,31.68300056
8/13/2009,48.36,-63.35,0,18.13699913,27.5529995
8/8/2009,50.57,-58.01,0,0.782000005,31.96100044
8/1/2009,48.39,-60.6,200,3.387000084,33.77199936
8/27/2009,48.54,-69.04,100,2.065999985,33.35400009
8/8/2009,50.11,-58.69,200,4.572999954,34.18299866
7/28/2009,47,-63.72,0,17.24500084,27.90200043
6/8/2009,49.85,-59.45,200,5.047999859,34.36600113
6/17/2009,48.33,-61.75,300,5.302000046,34.52000046
8/16/2009,49.16,-64.04,0,-0.153999999,32.1780014
8/9/2009,49.25,-66.17,200,3.394000053,33.79100037
8/9/2009,49.65,-60.59,300,5.118999958,34.41699982
7/30/2009,47.5,-60,0,0.938000023,31.80200005
7/6/2009,48.7,-68.53,100,3.487999916,30.78800011
8/21/2009,49.83,-61.36,200,2.703000069,33.58300018
8/11/2009,48.49,-62.76,200,3.311000109,33.77399826
6/14/2009,46.84,-63.75,0,7.525000095,28.81100082
8/11/2009,48.38,-62.57,100,2.417000055,33.47399902
8/22/2009,48.87,-61.56,100,1.725999951,33.29100037
6/30/2009,48.64,-68.64,200,3.226999998,33.76200104
8/29/2009,49.27,-64.89,100,0.688000023,32.89699936
4/12/2009,47.4,-56.37,0,1.139999986,32.11999893
8/30/2009,48.13,-64.63,100,3.404999971,30.58399963
8/7/2009,50.52,-57.52,100,-0.143999994,32.22499847
8/10/2009,48.15,-62.15,100,0.141000003,32.5
8/30/2009,48.13,-64.63,0,4.133999825,30.42000008
8/2/2009,48.45,-59.56,100,1.25999999,31.90299988
8/1/2009,48.08,-60.7,300,5.293000221,34.73899841
6/7/2009,50.1,-59.92,0,5.637000084,30.75300026
8/16/2009,49.09,-63.74,100,1.672999978,33.24300003
4/23/2009,49.08,-67.23,300,5.059000015,34.48699951
6/23/2009,48.67,-68.59,200,4.550000191,34.26100159
8/11/2009,48.34,-62.36,200,4.061999798,33.98099899
9/23/2009,47.31,-61.09,0,1.888000011,31.6970005
6/12/2009,47.66,-63.75,0,5.798999786,28.86499977
5/10/2009,48.67,-68.57,200,4.421999931,34.19800186
8/14/2009,48.42,-62.77,200,4.19299984,34.05500031
6/21/2009,49.21,-68.01,0,3.210999966,29.50799942
6/23/2009,48.67,-68.59,200,4.781000137,34.35400009
8/6/2009,46.85,-61.72,100,-0.081,31.9470005
8/8/2009,50.33,-58.65,0,15.35099983,30.37599945
6/8/2009,50.7,-57.57,100,0.043000001,32.49700165
8/14/2009,48.28,-69.41,100,1.468999982,33.1780014
8/29/2009,49.32,-65.76,100,2.131999969,33.39599991
9/22/2009,47.21,-60.54,100,1.338000059,32.35300064
8/3/2009,48.72,-59.91,100,0.528999984,32.69800186
6/18/2009,48.57,-62.76,200,4.953999996,34.3409996
8/14/2009,48.28,-69.41,100,2.124000072,33.38800049
9/22/2009,47.38,-60.42,0,12.48099995,30.90999985
6/12/2009,47.74,-64,100,0.064000003,32.29299927
8/28/2009,48.86,-68.3,0,2.565999985,31.15099907
8/17/2009,49.45,-63.96,100,0.82099998,32.93799973
6/30/2009,49.71,-66.27,100,1.029000044,33.02899933
8/14/2009,48.75,-63.17,300,5.31799984,34.6629982
8/28/2009,48.67,-68.34,100,1.105000019,32.90399933
8/1/2009,48.39,-60.6,200,3.713000059,33.8730011
8/14/2009,48.25,-63.16,0,1.973999977,31.5739994
6/11/2009,47.5,-63.25,0,3.976000071,30.70299911
6/30/2009,48.64,-68.64,200,2.657999992,33.55899811
6/9/2009,45.77,-62.31,0,7.385000229,29.68600082
6/5/2009,49.72,-66.25,300,5.30700016,34.6269989
6/21/2009,48.7,-68.6,200,3.690000057,33.95000076
7/29/2009,47.1,-59.99,100,1.279999971,32.85800171
9/22/2009,48.67,-68.58,0,4.096000195,30.26099968
8/9/2009,49.65,-60.59,300,5.125999928,34.42100143
8/13/2009,48.36,-63.35,0,17.76199913,27.57600021
6/10/2009,48.5,-61.3,100,3.467999935,33.8030014
8/6/2009,46.71,-61.93,100,0.008,32.01900101
8/9/2009,49.71,-66.26,100,2.71600008,33.56499863
8/25/2009,49.19,-67.5,100,0.781000018,32.91600037
8/21/2009,49.83,-61.36,100,1.14199996,33.13399887
6/6/2009,49.83,-62.95,0,1.149000049,31.90099907
9/22/2009,47.21,-60.54,100,1.299999952,32.25299835
8/16/2009,49.09,-63.74,300,5.304999828,34.5890007
8/4/2009,48.67,-68.56,0,13.91100025,25.3579998
6/5/2009,49.24,-66.19,0,1.600999951,29.72599983
6/9/2009,45.87,-63.34,0,13.43900013,28.44099998
8/6/2009,46.8,-61.92,0,19.39900017,29.1079998
6/18/2009,47.83,-63.25,100,-0.189999998,32.06600189
8/6/2009,46.85,-61.72,100,-0.092,31.93300056
8/11/2009,48.49,-62.76,100,3.061000109,33.68600082
7/30/2009,47.43,-59.57,200,3.849999905,33.78699875
7/15/2009,48.5,-59.3,0,3.391000032,31.75699997
6/23/2009,49.83,-66.37,200,4.846000195,34.3730011
6/4/2009,48.67,-68.57,200,3.019999981,32.61600113
6/20/2009,48.4,-69.14,100,2.111999989,33.40100098
8/27/2009,48.42,-68.98,0,2.453000069,31.36400032
