,year,depth_range,temperature,salinity,temp_variation,sal_variation,temp_var_ytoy,sal_var_ytoy
63,2012,"(600, 700]",5.301,34.985,-0.6280000000000001,-0.04100000000000392,0.3390000000000004,0.03399999999999892
64,2013,"(600, 700]",5.089,34.964,-0.8399999999999999,-0.06200000000000472,-0.21199999999999974,-0.021000000000000796
65,2014,"(600, 700]",5.303,34.974,-0.6260000000000003,-0.05200000000000671,0.21399999999999952,0.00999999999999801
66,2015,"(600, 700]",5.255,34.978,-0.6740000000000004,-0.04800000000000182,-0.04800000000000004,0.0040000000000048885
67,2016,"(600, 700]",5.582,35.034,-0.3470000000000004,0.007999999999995566,0.32699999999999996,0.055999999999997385
68,2017,"(600, 700]",5.574,35.003,-0.3550000000000004,-0.02300000000000324,-0.008000000000000007,-0.030999999999998806
69,2018,"(600, 700]",5.902,35.008,-0.027000000000000135,-0.018000000000000682,0.3280000000000003,0.005000000000002558
70,2009,"(700, 800]",5.361,34.982,0.0,0.0,0.0,0.0
71,2010,"(700, 800]",4.867,34.95,-0.4939999999999998,-0.031999999999996476,-0.4939999999999998,-0.031999999999996476
72,2011,"(700, 800]",4.627,34.934,-0.734,-0.04800000000000182,-0.2400000000000002,-0.016000000000005343
73,2012,"(700, 800]",4.876,34.954,-0.48499999999999943,-0.027999999999998693,0.24900000000000055,0.020000000000003126
74,2013,"(700, 800]",4.712,34.941,-0.649,-0.04099999999999682,-0.1640000000000006,-0.012999999999998124
75,2014,"(700, 800]",4.878,34.948,-0.48299999999999965,-0.03399999999999892,0.16600000000000037,0.006999999999997897
76,2015,"(700, 800]",4.824,34.952,-0.5369999999999999,-0.030000000000001137,-0.05400000000000027,0.003999999999997783
77,2016,"(700, 800]",5.11,35.001,-0.25099999999999945,0.01899999999999835,0.2860000000000005,0.04899999999999949
78,2017,"(700, 800]",5.066,34.973,-0.29499999999999993,-0.009000000000000341,-0.04400000000000048,-0.027999999999998693
